Date and Time,Epochs,training_data,Accuracy,Average Epoch Duration
2024-05-06 06:01:09,50,54000,83.95185185185186,120.79423807144165
2024-05-07 06:27:56,50,54000,61.809259259259264,120.1778406381607
2024-05-08 15:09:52,50,54000,80.03148148148148,156.3475778055191
2024-05-08 22:14:22,50,54000,59.01481481481482,113.76941173553467
2024-05-09 06:16:42,50,54000,61.66111111111111,110.7838824224472
2024-05-09 15:19:38,50,54000,71.63703703703703,213.29575979232789
2024-05-09 20:20:54,50,54000,71.22777777777777,131.25477606773376
2024-05-10 06:22:19,50,54000,62.2037037037037,104.00967590332031
2024-05-10 10:18:27,50,54000,86.51296296296296,142.9848121881485
2024-05-10 21:26:37,50,54000,65.34629629629629,97.9824647140503
2024-05-11 06:45:03,50,54000,76.60555555555555,118.35685926914215
2024-05-12 07:03:08,50,54000,77.99814814814815,139.0876642036438
2024-05-12 17:17:38,50,54000,84.8425925925926,175.882412276268
2024-05-13 07:17:51,50,54000,85.03518518518518,178.13284636974333
2024-05-13 18:44:26,50,54000,79.14074074074074,119.40254456996918
2024-05-14 07:22:24,50,54000,79.53148148148148,134.40334375858308
2024-05-15 07:23:42,50,54000,66.0037037037037,100.7199866771698
2024-05-15 18:13:09,50,54000,78.32407407407408,195.79621519088744
2024-05-16 06:26:07,50,54000,74.8,132.9379813861847
2024-05-16 14:16:42,50,54000,77.35925925925926,171.7120677471161
